NON $ % + - . 0 1 2 3 4 5 6
#NON	k	g	l	j	i	h	f	b	d	a	e	c
0.0	0.6711327550867158	0.8702655852179902	0.2599957748333891	0.2780279762712359	0.20674806315170013	0.05363239658707386	0.09237372918484976	0.6603149337838	0.45862610884517085	0.5551369043253946	0.20533112939319453	0.8476936048623703
0.33557046979865773	0.400257930809987	0.5630238472301206	0.20877155175465828	0.16340786519686668	0.11887734198654583	0.049782841381200454	0.0764470331139084	0.4051419260160925	0.34992779500891036	0.4320025106490357	0.26647557686257045	0.3660696274525017
0.6711409395973155	0.28229308388061686	0.39673244515441836	0.17216584907448007	0.11052185712885615	0.08058841910948633	0.045086748101747086	0.06468591906262364	0.27069025175763367	0.29145163177649647	0.364496914167758	0.2706366810707391	0.17999235760787805
1.0067114093959733	0.22520038272854415	0.3038625043311504	0.14791664924505052	0.08324274474967973	0.06148708807028482	0.03980448138681102	0.05512564791805692	0.19888143960799368	0.2572040420160795	0.324560298865696	0.2558156844807006	0.10473939658022947
1.342281879194631	0.1944867800264884	0.25028044497863355	0.13214400902041565	0.06785037171954916	0.05074966350602445	0.03482249605157455	0.047484950712000054	0.15970490701404697	0.2357807671473644	0.29922468197764357	0.23763579221422396	0.0722788692599252
1.6778523489932886	0.1765339855065854	0.21831456809280902	0.12185862976885987	0.05862936180316581	0.04420659749174299	0.030630611130297164	0.041613789438548876	0.13775031295731027	0.22184223638509648	0.28219974775303125	0.22171370530890608	0.05710709061178984
2.0134228187919465	0.16544534788793636	0.1986382638917582	0.11510043171530375	0.05290757099637619	0.04003926994693436	0.02734690959866363	0.03726106846996595	0.1250824196962881	0.21259428335692301	0.2703060498170595	0.209398575763788	0.04938070775156791
2.348993288590604	0.15835949543527789	0.18620177023635004	0.11063508433669998	0.04928471461855608	0.03732765769065172	0.024890299449886178	0.034122008258229974	0.11756573630316303	0.20640245711532088	0.2618243527352657	0.2004337114130442	0.045123387361969636
2.684563758389262	0.1537355655929357	0.17817789040595042	0.10767862794833742	0.04696234130395989	0.03554565436742568	0.02310781991790679	0.03190365486095265	0.11299636268701682	0.20223762850234966	0.2557321061700085	0.19411632359524034	0.04262459804604595
3.0201342281879198	0.150677610988025	0.1729227403239892	0.10572204140979802	0.04546108438295942	0.034368936074735505	0.02184134154113609	0.030358861994068374	0.11016398199624332	0.19942801716679112	0.25135932504252445	0.18974372002154902	0.041089690766352
3.3557046979865772	0.14863747410923153	0.1694446247692903	0.10442910982101498	0.044484522373946324	0.03358982304416032	0.02095471875782257	0.029294564121931956	0.10838170708230337	0.19752843751864588	0.24823521321898856	0.1867471257790807	0.0401176821568252
3.691275167785235	0.14726841896610798	0.16712605981353476	0.10357604825623064	0.04384608935642244	0.03307299848355648	0.02034062375336151	0.028567015313589232	0.10724737982309446	0.19624186729347834	0.2460167965821212	0.18470467891615064	0.039489944664199264
