NON $ % + - . 0 1 2 3 4 5
#NON	b	c	k	g	f	e	i	d	a	j	h
0.0	0.05687570843053291	0.34046787531669476	0.599635991695408	0.6556627076988817	0.7010583960014053	0.3615823375722115	0.37188501051363676	0.7236137025292122	0.6350705859209032	0.024588436206668507	0.8935472960277062
0.33557046979865773	0.14708516027930651	0.3011949037887015	0.38525179607709437	0.4892688182832211	0.34356182611156333	0.27371180987755894	0.3009898170543166	0.49607686204346024	0.36980527877938874	0.12677985769741631	0.5640109495788508
0.6711409395973155	0.19148953220061649	0.2701671116320435	0.27909214921875697	0.39151937110708657	0.1865324428686915	0.22815545900398404	0.25771456482958466	0.3462873362346557	0.22340048578288374	0.16923770630814555	0.3677336869632582
1.0067114093959733	0.2116955278303631	0.24409306387560023	0.22457209868245703	0.33284411615501025	0.1149073043146887	0.20275075532436845	0.2277812438736661	0.2467244624501735	0.1410507597420054	0.1802223161693712	0.24930909452473315
1.342281879194631	0.2191541355918075	0.22150648015866936	0.19478492192026978	0.2964270334391768	0.08010115385256772	0.18702932122293014	0.2048607784404148	0.17976586138491907	0.09353776804214453	0.17553044108915394	0.17657922532996065
1.6778523489932886	0.21995972194313082	0.20173417540842273	0.17695481256359283	0.2727371248709245	0.06154386053489301	0.1760640944593774	0.18614851365136179	0.13412077357649224	0.06523542989564934	0.16383623653332238	0.13087223596454395
2.0134228187919465	0.21737575364201056	0.18441997787673878	0.16503202425051114	0.2563947534861848	0.0504721293069329	0.16755234249074788	0.1703628702160593	0.10253589034004562	0.04773566329674351	0.14976965798744238	0.10132736537465968
2.348993288590604	0.21316315971548605	0.16932014997524797	0.15616261150166239	0.2443776178402315	0.043101693322803884	0.1604290544426551	0.15686482152159617	0.08032903099375752	0.0364684185005727	0.13568894570036438	0.08160310334455623
2.684563758389262	0.20827963410668135	0.15622345644656138	0.14900514571716972	0.23499562109854713	0.037753134660265114	0.15420737315336414	0.14528063358532847	0.06445669935574803	0.028912283317542503	0.12269660248267066	0.06797225924985131
3.0201342281879198	0.20324867936431804	0.144925580282954	0.14292879467946515	0.2273066003639029	0.03364289410650663	0.1486654084987636	0.13534585640546934	0.05292296489349526	0.023647278653164096	0.11121804285153525	0.058221932989649984
3.3557046979865772	0.1983552986147289	0.13522542015939387	0.1376323291477549	0.22078451148834852	0.03037480538905324	0.14369845108733695	0.12684431889093725	0.04440503706893937	0.01985242272892552	0.10132812043497345	0.05101923580415102
3.691275167785235	0.19375069497877545	0.12692871500452996	0.1329642488428262	0.2151320028547064	0.027725817438320297	0.1392502857747502	0.11958638256506589	0.03801575416864488	0.017037882921211004	0.09293275295638673	0.04554574457429126
4.026845637583893	0.1895091678955799	0.11985282351205805	0.12883892787019915	0.2101754207622483	0.025554998198918072	0.13528229431381852	0.11340229699365094	0.033152359411531114	0.01490092305505647	0.08586767652167233	0.041286604146495424
4.3624161073825505	0.18565977972203174	0.11383038317148696	0.12519846799463646	0.20580675292032946	0.02376415709609252	0.13176048791678913	0.10814058008869408	0.029399687831301625	0.01324742645281957	0.07995018208352002	0.037908513182666165
4.697986577181208	0.1822045886025029	0.10871130032242514	0.12199610233581751	0.20195212932606058	0.022280082177222566	0.1286508709425937	0.10366748503949692	0.026467709251289197	0.011948347880128862	0.07500455239299852	0.035188711661228875
5.033557046979866	0.1791295601458491	0.10436327637547482	0.11918956016880738	0.19855520629411466	0.021045926575255842	0.1259184811175943	0.09986630956364104	0.02415089492783683	0.010914991876554843	0.07087312777180796	0.03297330289443177
5.369127516778524	0.1764113737385455	0.10067123391938389	0.11673887423198437	0.1955687600960163	0.020016551768683034	0.12352789403301588	0.09663624091862065	0.022301499475461742	0.010084572946574513	0.06741975659640347	0.031152461088147874
5.704697986577181	0.1740217970760594	0.09753606758175606	0.11460600538798553	0.19295069209282242	0.019155679981715478	0.12144413746112709	0.09389087432087068	0.02081181435007687	0.009411517817176213	0.06452946123255277	0.029645442413050314
6.0402684563758395	0.1719305509376179	0.09487304178776294	0.1127550880795142	0.190662308766481	0.01843394962166512	0.11963356463955924	0.09155657087825073	0.019602235511400307	0.00886204265378307	0.06210641366513426	0.02839131525821255
6.375838926174497	0.17010718075871453	0.09261008145927836	0.11115277953644423	0.18866770498872965	0.01782748826773973	0.11806451897192581	0.08957082116361254	0.018613158012468378	0.0084106634784208	0.06007134308229625	0.027343088097492745
6.7114093959731544	0.16852226145322335	0.0906860812133349	0.10976852306221517	0.18693362685442463	0.017316811275405304	0.11670776579968342	0.0878806797031045	0.0177993807180016	0.00803786929240365	0.05835890689574365	0.026463862728420825
7.046979865771813	0.16714812559108908	0.0890493398534272	0.10857466489533558	0.18542949017285676	0.016885960020997702	0.11553670641670002	0.0864413546226436	0.017126218421521337	0.0077285349548882	0.05691530202088838	0.02572425023670054
7.38255033557047	0.16595926656170856	0.08765616368315968	0.10754644348144625	0.18412741118326922	0.016521820506175497	0.11452742946108048	0.08521497318702817	0.016566759551203694	0.007470808483292143	0.05569620680082089	0.025100575707729462
7.718120805369128	0.16493251760066885	0.08646963633229258	0.10666188142112679	0.18300219315349167	0.016213578653952	0.11365864624181928	0.08416950538613424	0.016099903563173094	0.0072553126530255216	0.05466504700479047	0.02457359044654442
8.053691275167786	0.16404707585597758	0.08545856167882789	0.1059016101243002	0.18203125246513868	0.015952287029175276	0.11291154763253278	0.0832778478511781	0.015708948375986808	0.007074565516467453	0.05379157207566339	0.024127529371619452
8.389261744966444	0.1632844279625013	0.0845965630441547	0.1052486571840647	0.18119449311990465	0.015730518010209554	0.11226961665713986	0.08251704880943694	0.015380555627264408	0.006922551022628153	0.05305069371847261	0.023749401454294234
8.724832214765101	0.16262821497872873	0.08386132233875104	0.10468821788300134	0.18047414373599224	0.015542086371169606	0.1117184199966196	0.08186765569143499	0.0151039880319708	0.00679439842593434	0.052421546414989875	0.02342844790384939
9.060402684563758	0.16206406409375654	0.083233939185027	0.10420742554372044	0.17985457171469663	0.015381826093158005	0.11124539446902457	0.08131316712497617	0.014870538528682397	0.006686139164821921	0.051886727039553875	0.023155720272177324
9.395973154362416	0.16157940489390848	0.08269839010877261	0.10379512993686942	0.17932208640816166	0.015245409899343244	0.1108396383687689	0.080839569244875	0.014673099537229827	0.006594521095914015	0.05143167816402859	0.022923748041825943
9.731543624161075	0.16116328553666154	0.08224108300518243	0.10344169198164171	0.17886474383629583	0.015129205166815497	0.11049171664609221	0.08043495657420657	0.014505836552430769	0.006516866103333104	0.05104419568639586	0.022726276443793228
10.067114093959733	0.16080619228744486	0.0818504725988306	0.10313879346302701	0.17847215520318088	0.015030153956778822	0.11019347907314526	0.08008920072198782	0.014363932698439948	0.006450957553230536	0.05071401876409285	0.0225580521622897
