NON $ % + - . 0
#NON	a	c	f	e	b	d
0.0	0.1451576423897074	0.2815645834567754	0.5414726836730804	0.3665287807124775	0.2447999028461968	0.428613660044329
0.33557046979865773	0.2050806867070942	0.2351353365307779	0.22817680499707477	0.2608693784601197	0.1178175247756973	0.3374381763272185
0.6711409395973155	0.2015321448595486	0.18566806321041732	0.10350390292746031	0.18252758993993348	0.059262208215868854	0.26468614109569094
1.0067114093959733	0.1767766829298035	0.14330820814877748	0.05122644827438186	0.1280464806693167	0.031056739640473355	0.2095818829468339
1.342281879194631	0.14839022997061643	0.11013995450006042	0.027777707874765925	0.09127622863895678	0.01693102239203287	0.16856033144457025
1.6778523489932886	0.12292004044003757	0.0853137080752262	0.016384947420480574	0.06675329209886602	0.009595045144523584	0.13821245993239387
2.0134228187919465	0.10204949648838497	0.06710267601215691	0.010368274068593739	0.0503300466667841	0.00565212144754933	0.11564985121971293
2.348993288590604	0.08555137684522045	0.05379045897314754	0.006937849810627697	0.03913517286420846	0.0034617846228522106	0.09861760419979378
2.684563758389262	0.07263812579523632	0.043985782224300614	0.00485359006671704	0.03130083793419868	0.002205114432010976	0.0854868785580031
3.0201342281879198	0.06250209442774157	0.03666473141440301	0.0035225353239933593	0.025655634050579978	0.0014606960532001702	0.07514489699207143
3.3557046979865772	0.05448059601952662	0.03110939199090534	0.002639054806559853	0.021474197979955176	0.0010055123089437639	0.06685026883126415
3.691275167785235	0.04807201077690498	0.026826188711204017	0.0020344134644977004	0.01830358008412599	0.0007183530144933349	0.06010630545562406
4.026845637583893	0.04290629045047263	0.02347588640948387	0.0016099560158713993	0.015853811431967554	0.0005315938235664163	0.05457022428665267
4.3624161073825505	0.03871029697511992	0.020822575991116515	0.001305368493290637	0.013932833308590525	0.000406538567126944	0.04999536787084031
4.697986577181208	0.03527987411521206	0.01869913245688044	0.001082473703841342	0.012408725890850297	0.00032046737833281934	0.04619679845504302
5.033557046979866	0.03245985853132161	0.016984635187391153	0.0009164324771226833	0.011187809228243906	0.00025969497719768175	0.0430311333017682
5.369127516778524	0.03013045322936674	0.015589799026367068	0.0007907143323172917	0.010201727003660833	0.00021576788972160592	0.040384640705433246
5.704697986577181	0.028197962122377403	0.014447506440795165	0.0006941004806139924	0.00939955017983191	0.00018333422226591163	0.0381658397799734
6.0402684563758395	0.026588373652922888	0.013506543392245619	0.0006188410471993996	0.008742736117113074	0.00015892413784778897	0.03630056126066307
6.375838926174497	0.025242781615795087	0.012727347004518469	0.0005594931464344876	0.008201763113263105	0.0001402360408481625	0.03472839373332401
6.7114093959731544	0.02411402083242695	0.012079042109432168	0.0005121737869621828	0.007753797764468343	0.00012570979465185658	0.03339998047266173
7.046979865771813	0.023164132915692533	0.011537323066473395	0.0004740710086761102	0.0073810296532670775	0.00011426597426452878	0.03227489038507654
7.38255033557047	0.022362424063030427	0.011082907958223117	0.000443119055703769	0.007069457806072042	0.00010514323121965992	0.03131991378314426
