NON $ % + - .
#NON	e	a	b	d	c
0.0	0.3303846529070732	0.8418247431522246	0.2434251109846416	0.1163634457942927	0.3536509408729941
0.33557046979865773	0.26951153368153685	0.5710523890465751	0.19757750306864622	0.19059845594523234	0.2839054612917344
0.6711409395973155	0.22999560175671604	0.4292065106934006	0.17508449608115653	0.22222804759947476	0.2401380121880342
1.0067114093959733	0.20382010830606184	0.3531476717275136	0.16447837422219244	0.23289127064168308	0.21294616381913106
1.342281879194631	0.18630879411707393	0.31120067662528866	0.1598884190996121	0.23389123999439398	0.19631000066148754
1.6778523489932886	0.17458575681663768	0.2873420078421444	0.15826752884574616	0.23098542765682906	0.18633040079550303
2.0134228187919465	0.16678436021084472	0.2733546581206387	0.1580373000043722	0.2269811405320712	0.180488870638528
2.348993288590604	0.16164529275398065	0.26493535287465847	0.15839352515736316	0.22313894044856	0.17717554167348892
2.684563758389262	0.15830292293535822	0.2597640584351749	0.15893976213890723	0.21993165169422293	0.17537549112163534
3.0201342281879198	0.15616044356831707	0.2565453002224264	0.15949211672873717	0.21745262443371752	0.17445887556163886
3.3557046979865772	0.1548090452964446	0.25452844871334807	0.15997524489530288	0.21563122055101436	0.17404170514055042
3.691275167785235	0.15397183739536363	0.25326350036111644	0.16036724485003861	0.21434208033804084	0.17389466779713175
4.026845637583893	0.15346378198570942	0.2524731717635306	0.1606707851752533	0.21345657352687905	0.17388424030204624
4.3624161073825505	0.1531629873627243	0.25198327804188786	0.16089829864030475	0.21286375583686043	0.1739351781915067
4.697986577181208	0.15299034692515104	0.251683146737028	0.16106468820296144	0.21247610114823395	0.17400696516439404
5.033557046979866	0.15289531119666513	0.2515021277385394	0.16118400057739019	0.21222832611869785	0.17407925402965868
5.369127516778524	0.1528461130332299	0.2513951548472286	0.16126814858250954	0.2120736405981563	0.17414303215965693
5.704697986577181	0.15282314910296765	0.2513336157365831	0.1613266402930303	0.21197953205544293	0.17419536042000341
6.0402684563758395	0.1528145738877293	0.2512994929273356	0.16136676655832208	0.21192398349886482	0.1742363279608095
6.375838926174497	0.15281340819421713	0.25128156644558386	0.16139395718372204	0.21189242358805352	0.17426734587647727
6.7114093959731544	0.1528156646083205	0.25127294121654337	0.16141216624492183	0.21187540741933206	0.17429023414119987
7.046979865771813	0.15281916917625718	0.25126946351323226	0.1614242205589676	0.21186694768347517	0.17430677968500924
7.38255033557047	0.1528228073343979	0.25126867825501276	0.16143210736519614	0.21186333486784734	0.1743185330507132
7.718120805369128	0.152826069291256	0.2512691786598266	0.1614372056883434	0.21186232459262527	0.17432675635495173
8.053691275167786	0.1528287733916963	0.2512701864999734	0.16144045945416508	0.21186260092278428	0.17433243090123143
8.389261744966444	0.15283090718328113	0.2512712989828597	0.16144250750022757	0.21186342116598153	0.17433629780766904
8.724832214765101	0.1528325327546069	0.25127232422399653	0.16144377673418867	0.21186438809782882	0.1743389010817643
9.060402684563758	0.15283373862293784	0.2512731877887803	0.16144454935744498	0.21186530637164006	0.17434063322915774
9.395973154362416	0.1528346143262797	0.25127387678232144	0.1614450097883448	0.21186609427481448	0.1743417723254354
9.731543624161075	0.15283523876797994	0.25127440530254813	0.16144527714542	0.21186673043320597	0.17434251260637407
10.067114093959733	0.15283567760909972	0.2512748001428775	0.16144542664825423	0.21186722451589238	0.17434298758116515
10.40268456375839	0.1528359815539241	0.25127508841326385	0.16144550628863363	0.21186759628902696	0.17434328825605988
10.738255033557047	0.1528361890550296	0.2512752945807913	0.16144554532760808	0.21186786927641868	0.17434347538770528
11.073825503355705	0.15283632906514652	0.2512754397355526	0.16144556176720382	0.21186806588094687	0.17434358997116584
11.409395973154362	0.15283642250397173	0.25127554050345735	0.1614455664840851	0.21186820498299228	0.17434365902355026
11.74496644295302	0.15283648432346025	0.2512756097393522	0.16144556545019803	0.21186830228029416	0.17434369977674835
12.080536912751679	0.15283652482450427	0.2512756568626749	0.16144556188368353	0.21186836968737416	0.17434372306362322
12.416107382550337	0.15283655097280094	0.25127568853972115	0.16144555754713172	0.21186841579387614	0.17434373569411424
12.751677852348994	0.15283656736128626	0.25127570932558513	0.16144555332392452	0.2118684466097072	0.17434374182526535
13.087248322147651	0.15283657756237073	0.2512757228453366	0.16144554975324077	0.21186846699566614	0.17434374452438403
13.422818791946309	0.15283658382726134	0.2512757315750137	0.16144554686710544	0.21186848040335068	0.17434374536072503
13.758389261744966	0.1528365873576446	0.25127573687005794	0.1614455446300938	0.2118684887416272	0.17434374510908524
14.093959731543626	0.15283658940426384	0.25127574014779247	0.16144554299549002	0.21186849400988939	0.1743437445638191
14.429530201342283	0.15283659064422042	0.2512757422306128	0.16144554184885235	0.21186849740407518	0.17434374404863964
14.76510067114094	0.1528365913758128	0.25127574351417986	0.1614455410849818	0.21186849952053002	0.17434374364125105
15.100671140939598	0.1528365918115671	0.2512757443145761	0.16144554057273397	0.21186850085541145	0.17434374333047187
15.436241610738255	0.15283659206979808	0.25127574482109905	0.16144554021687618	0.2118685017133962	0.1743437430841404
15.771812080536913	0.15283659221177417	0.2512757451302383	0.16144553997093822	0.21186850224907444	0.17434374288902788
16.107382550335572	0.1528365922908576	0.2512757453242319	0.1614455397978155	0.21186850259330964	0.17434374273764644
16.44295302013423	0.1528365923347329	0.25127574544695674	0.1614455396771211	0.21186850281598818	0.17434374262459112
16.778523489932887	0.15283659239581474	0.25127574560546256	0.1614455395288949	0.21186850309995106	0.17434374249037327
17.114093959731544	0.15283659244064393	0.2512757457282461	0.1614455394096554	0.21186850332179946	0.17434374237948635
17.449664429530202	0.1528365924692205	0.25127574581530737	0.1614455393194026	0.21186850348153333	0.1743437422919304
17.78523489932886	0.15283659248154444	0.2512757458666464	0.16144553925813648	0.2118685035791527	0.17434374222770538
18.120805369127517	0.15283659247761572	0.25127574588226315	0.1614455392258571	0.2118685036146576	0.17434374218681134
18.456375838926174	0.15283659245743436	0.2512757458621577	0.1614455392225644	0.21186850358804796	0.17434374216924825
18.79194630872483	0.1528365924210004	0.2512757458063299	0.16144553924825844	0.2118685034993238	0.17434374217501614
19.12751677852349	0.152836592391605	0.25127574576170836	0.16144553926829874	0.21186850342862362	0.17434374217885315
19.46308724832215	0.15283659238915467	0.2512757457684019	0.161445539253079	0.21186850344443994	0.17434374215916865
19.798657718120808	0.15283659238457262	0.25127574576782474	0.1614455392458443	0.21186850344672778	0.17434374214749948
20.134228187919465	0.15283659237785885	0.251275745759977	0.16144553924659466	0.21186850343548716	0.17434374214384563
20.469798657718123	0.15283659236901337	0.25127574574485867	0.1614455392553301	0.21186850341071803	0.1743437421482071
20.80536912751678	0.15283659235803615	0.2512757457224697	0.16144553927205055	0.21186850337242044	0.17434374216058393
21.140939597315437	0.1528365923449272	0.2512757456928101	0.1614455392967561	0.21186850332059437	0.1743437421809761
21.476510067114095	0.15283659232968652	0.25127574565587985	0.1614455393294467	0.21186850325523982	0.17434374220938356
21.812080536912752	0.1528365923023654	0.25127574562038324	0.16144553933824204	0.2118685032020591	0.17434374220130083
22.14765100671141	0.1528365923038693	0.2512757456156557	0.16144553934860523	0.21186850319107073	0.1743437422146012
22.483221476510067	0.1528365923053732	0.2512757456109281	0.16144553935896838	0.21186850318008235	0.17434374222790155
22.818791946308725	0.1528365923068771	0.25127574560620053	0.16144553936933156	0.21186850316909397	0.17434374224120192
23.154362416107382	0.152836592308381	0.2512757456014729	0.16144553937969472	0.2118685031581056	0.17434374225450228
23.48993288590604	0.1528365923098849	0.2512757455967453	0.1614455393900579	0.21186850314711722	0.17434374226780264
23.8255033557047	0.1528365923113888	0.25127574559201776	0.16144553940042106	0.21186850313612884	0.174343742281103
24.161073825503358	0.15283659231258984	0.2512757455883591	0.16144553940850784	0.2118685031275966	0.17434374229150043
24.496644295302016	0.15283659231275534	0.2512757455883549	0.16144553940881198	0.21186850312746175	0.17434374229197322
24.832214765100673	0.15283659231292085	0.2512757455883508	0.16144553940911613	0.2118685031273269	0.17434374229244598
25.16778523489933	0.15283659231308636	0.25127574558834664	0.16144553940942027	0.21186850312719205	0.17434374229291874
25.503355704697988	0.1528365923132519	0.25127574558834254	0.16144553940972442	0.21186850312705718	0.17434374229339153
25.838926174496645	0.1528365923134174	0.2512757455883384	0.16144553941002857	0.21186850312692232	0.1743437422938643
26.174496644295303	0.1528365923135829	0.25127574558833426	0.1614455394103327	0.21186850312678746	0.17434374229433705
