NON $ % + -
#NON	a	d	c	b
0.0	0.5468732421476761	0.5433227603391679	0.8359438644835581	0.4387699320655918
0.33557046979865773	0.37321746139137274	0.3563557031263673	0.43752122516521375	0.27610777653497126
0.6711409395973155	0.2846246292100474	0.2630343212044861	0.23705744723308492	0.17942657242372062
1.0067114093959733	0.23693258622400434	0.21640939495780087	0.13440172484093585	0.12057294428081493
1.342281879194631	0.2108402571238535	0.1935029108747021	0.08073795191439635	0.08404521633875883
1.6778523489932886	0.19680181953529235	0.18287154729777508	0.051982380235734205	0.06098874440738497
2.0134228187919465	0.18960569401270874	0.178645309935065	0.03612910562227295	0.046225725561401206
2.348993288590604	0.1862568382415941	0.17770197916523764	0.02712301043338221	0.03667024787136601
2.684563758389262	0.1850061618836865	0.17833350672681814	0.021859368681083784	0.030443860180087247
3.0201342281879198	0.18483662745346163	0.179601124296298	0.01870830697049935	0.026375988255134233
3.3557046979865772	0.18516815572405002	0.1810046698732864	0.016787764032572507	0.023720566860317503
3.691275167785235	0.18568177173256034	0.18229922266505263	0.01560355475402429	0.021993334024747006
4.026845637583893	0.18621287338742368	0.18338619407914872	0.014869072836628302	0.02087608413789557
4.3624161073825505	0.18668590771918153	0.18424643963410237	0.014412999450044352	0.02015844436821885
4.697986577181208	0.187074494208432	0.18489954582093274	0.014130513542033136	0.019701174312572026
5.033557046979866	0.18737750297273328	0.18538016012993933	0.013956480497668825	0.01941236953739954
5.369127516778524	0.1876051710019319	0.18572526704118136	0.013850079570169394	0.019231695697323522
5.704697986577181	0.1877714689833164	0.1859681633072281	0.013785652732338245	0.019119821263947782
6.0402684563758395	0.18789023573863495	0.18613627062149066	0.013747092911103853	0.0190513131437714
6.375838926174497	0.18797349337684144	0.18625094162252617	0.013724332229003253	0.01900986951557145
6.7114093959731544	0.1880309417067373	0.1863281652598321	0.013711119864236797	0.018985139542727278
7.046979865771813	0.18807003705489161	0.1863795704998566	0.013703606539038425	0.018970613866764074
7.38255033557047	0.1880963150224351	0.1864134230090426	0.013699444841794807	0.018962240260513664
7.718120805369128	0.18811378205306684	0.1864354961679365	0.013697217649575561	0.018957520050130995
8.053691275167786	0.18812526908894736	0.18644974463117578	0.013696087734379463	0.01895494203382631
8.389261744966444	0.1881327475771576	0.1864588540592332	0.013695559079355185	0.0189535895763645
8.724832214765101	0.1881375691701668	0.18646462247211731	0.013695347480914315	0.018952921430426234
9.060402684563758	0.1881406496835977	0.1864682419781533	0.013695294283986121	0.01895262388808803
9.395973154362416	0.1881425973551399	0.18647048709916883	0.013695314064751767	0.01895252011180328
9.731543624161075	0.18814381689234572	0.18647186423284848	0.013695360815931992	0.018952509465936105
10.067114093959733	0.18814457293448256	0.18647270055992798	0.013695411408111965	0.018952537010495974
10.40268456375839	0.18814503607233998	0.18647320221198135	0.013695456908162098	0.018952576779695158
10.738255033557047	0.18814531669167853	0.18647349776068317	0.013695494250454517	0.01895261635257833
11.073825503355705	0.18814548567325035	0.18647366821247707	0.013695523073974493	0.018952650282357132
11.409395973154362	0.18814558680085824	0.18647376621675568	0.013695544256768968	0.018952676829870646
11.74496644295302	0.18814564737969638	0.18647382486669	0.013695559676782338	0.018952696980803384
12.080536912751679	0.18814567564761359	0.18647385380353856	0.013695570275535564	0.018952711629619243
12.416107382550337	0.18814569326854605	0.18647386923788703	0.013695578035630013	0.018952722640076712
12.751677852348994	0.18814570409422926	0.18647387481360406	0.013695583399055286	0.01895273045404719
13.087248322147651	0.1881457095103765	0.18647387670342128	0.013695586990739347	0.018952735805030388
13.422818791946309	0.18814571114730733	0.18647387745653748	0.01369558935006711	0.018952739399048627
13.758389261744966	0.18814571183945153	0.18647387712928284	0.013695590907514115	0.018952741810296533
14.093959731543626	0.1881457123811335	0.18647387676409238	0.013695592194939588	0.0189527438074776
14.429530201342283	0.18814571252277962	0.18647387623921677	0.013695593078783286	0.018952745194819563
14.76510067114094	0.18814571223922988	0.18647387553690123	0.01369559354426551	0.018952745950711353
15.100671140939598	0.1881457118981423	0.1864738748947472	0.013695593846868572	0.018952746453126758
15.436241610738255	0.18814571168014543	0.1864738744294871	0.01369559411210964	0.018952746887762394
15.771812080536913	0.18814571136973043	0.1864738740018469	0.01369559419023355	0.018952747033062708
16.107382550335572	0.18814571084838003	0.18647387321631514	0.013695594403676814	0.018952747407191283
16.44295302013423	0.1881457107267138	0.1864738731776975	0.013695594273552436	0.018952747209919393
16.778523489932887	0.1881457106050476	0.18647387313907987	0.013695594143428056	0.018952747012647504
17.114093959731544	0.18814571048338138	0.18647387310046226	0.013695594013303678	0.01895274681537561
17.449664429530202	0.18814571045484957	0.18647387310040775	0.013695593971659549	0.018952746751510895
17.78523489932886	0.18814571045091377	0.18647387311053745	0.013695593953382336	0.018952746722877938
18.120805369127517	0.188145710446978	0.18647387312066716	0.013695593935105124	0.018952746694244977
18.456375838926174	0.1881457104430422	0.18647387313079689	0.013695593916827911	0.01895274666561202
18.79194630872483	0.18814571043910644	0.1864738731409266	0.0136955938985507	0.018952746636979063
