NON $ % + - . 0
#NON	d	a	e	b	c	f
0.0	0.2726638219662858	0.6688219778282164	0.9781156849337319	0.9993267984428341	0.13058687222085197	0.9127029820355081
0.42016806722689076	0.24141001070239637	0.3531005482738569	0.6097589382182147	0.6375019880322155	0.25281196791728217	0.4719122287340098
0.8403361344537815	0.20810111083917457	0.1904738062716889	0.4045549887845028	0.4366778492549322	0.25787895312092957	0.2997358840805235
1.2605042016806722	0.17637159052755777	0.10527975016880076	0.2843361731100446	0.3229374925997713	0.23040364358097856	0.22683160157008578
1.680672268907563	0.14794056344832113	0.05988577106381315	0.20971354627978814	0.2565473373752971	0.1968967336619533	0.19122643487028967
2.100840336134454	0.12347187853394291	0.035246010829396025	0.1606545542495772	0.2160602244457691	0.16561360826309712	0.17014713637384432
2.5210084033613445	0.10302595373675918	0.02158147270230853	0.12676758875439093	0.18986035756330444	0.13887792706645216	0.1551482290777074
2.9411764705882355	0.08632373560232193	0.013811151013183608	0.10246838129527817	0.17166310740623422	0.11697783052814291	0.14307193507679108
3.361344537815126	0.07291534058011025	0.009264804656631783	0.08459252648937872	0.15809292955800183	0.09947612308331359	0.13274099940317063
3.7815126050420167	0.06229076613532902	0.006520756340487628	0.0712241219805881	0.1473587453434766	0.08570283254424518	0.1237225726713321
4.201680672268908	0.053949413960185696	0.004809855713793957	0.061121613692986576	0.13852042727285482	0.07496307954925249	0.11585166310902292
4.621848739495799	0.047438923852924475	0.003707826940124121	0.053432812857677425	0.13108200920303345	0.06662715376389883	0.10904411670646928
5.042016806722689	0.042372469005941646	0.002975332831728711	0.0475486059826516	0.12476925240700984	0.0601639767552363	0.10322617656407035
5.46218487394958	0.03843188890871625	0.0024739479800918425	0.04302277611833785	0.11941202358647036	0.05514509310969668	0.09831306604647222
5.882352941176471	0.03536277511864818	0.002121467389481266	0.03952420268742372	0.1148857712750029	0.0512347355410937	0.09420787111841245
6.302521008403361	0.03296576467965676	0.0018677243300300474	0.03680568768498067	0.11108518177431077	0.04817461811029989	0.09080757447601623
6.722689075630252	0.031086775652806688	0.001681254344304608	0.03468215206008897	0.10791429801728741	0.0457681798161331	0.08801012624589444
7.142857142857143	0.02960773254958844	0.001541782401396288	0.033014721322088963	0.10528417115998477	0.04386652310917404	0.08572000303891592
7.563025210084033	0.028438525553983802	0.0014358976795800034	0.031698900236306726	0.10311328690256612	0.04235684791932766	0.08385158055184692
7.983193277310924	0.027510416597910054	0.0013545041163695968	0.03065574025380193	0.1013284883699127	0.04115339248688886	0.08233054073257559
8.403361344537815	0.026770903119424067	0.0012912924535452583	0.02982534009828528	0.09986555787217613	0.04019065009919997	0.08109392186322582
8.823529411764707	0.026179670965619326	0.0012417835198294304	0.029161918316295495	0.09866917194735113	0.039418166655675366	0.08008924586863633
9.243697478991598	0.025705591424843615	0.0012027360131532648	0.028630244007471294	0.09769237963091301	0.03879678236449855	0.07927324334132974
9.663865546218487	0.025324485019970724	0.001171763091757589	0.028203019153196503	0.09689579971921305	0.03829589195539948	0.07861049731035168
10.084033613445378	0.025017482056448933	0.0011470819557001845	0.027858979697672977	0.09624672491704347	0.03789146513156898	0.07807218399383554
10.504201680672269	0.024769761377400626	0.001127341223962966	0.02758144692752538	0.09571817110438366	0.03756452217970115	0.07763490304040169
10.92436974789916	0.024569572265570015	0.0011115020291185928	0.027357212658103678	0.09528791441696911	0.03729989029383838	0.0772796198051652
11.344537815126051	0.024407606371731606	0.00109876164789865	0.027175822841087584	0.09493777277825141	0.03708550905866194	0.07699091416771157
11.764705882352942	0.024276434592075492	0.0010884923798779424	0.0270289396278887	0.09465287234708859	0.03691170628561672	0.07675626851668213
12.184873949579831	0.02417012098798775	0.0010802016807655616	0.026909904921722117	0.09442109376020075	0.036770712621803404	0.07656554208214947
12.605042016806722	0.02408390585151048	0.001073499395030701	0.02681338175459525	0.0942325543172974	0.03665629933823242	0.07641050517350198
13.025210084033613	0.02401395086299963	0.001068075034550037	0.026735068157766897	0.09407919447017965	0.036563418524626835	0.07628446492416731
13.445378151260504	0.02395716433927293	0.0010636810447756558	0.026671500112414117	0.0939544595662211	0.03648797053543333	0.0761819989209729
13.865546218487395	0.023911054077465986	0.0010601191637842383	0.02661988548575399	0.09385300623464207	0.03642670486672643	0.07609868146102215
14.285714285714286	0.023873599932801633	0.001057229968088373	0.026577961874656757	0.09377049343615498	0.03637691930564521	0.07603094008216822
14.705882352941178	0.023843173433911825	0.0010548855244009584	0.026543905522002767	0.09370339078033542	0.036336455255148226	0.07597586447969963
