,,,Slide ID,c,a,d,b
,,,Antibody Name,c,a,d,b
,,,HUGO ID,c,a,d,b
Cell Line,Inhibitor,Stimulus,Timepoint
C1,no,Insulin,0.0,0.43867304729779333,0.5203079775218539,0.31496613396307216,0.5208419132711842
C1,no,Insulin,0.33557046979865773,0.2771248605638262,0.3219840434092675,0.2950138812401656,0.38427164549522064
C1,no,Insulin,0.6711409395973155,0.18143544839360193,0.20683386281241425,0.2674328841276651,0.29818951833341295
C1,no,Insulin,1.0067114093959733,0.12340517516930011,0.1385370054269015,0.23794272872099712,0.24000991437547828
C1,no,Insulin,1.342281879194631,0.08728720292413877,0.09699793624948928,0.20976622365190778,0.19859438441600444
C1,no,Insulin,1.6778523489932886,0.06418199016209804,0.07100678116528084,0.18450270570245958,0.16809666380173352
C1,no,Insulin,2.0134228187919465,0.048985355320448926,0.05424320964113063,0.16274184902306035,0.14516837643649447
C1,no,Insulin,2.348993288590604,0.03871709433683281,0.04309310425822957,0.1444885117107175,0.12770507039205092
C1,no,Insulin,2.684563758389262,0.03160069272666457,0.03545264512923621,0.12944524235829058,0.11428060428031235
C1,no,Insulin,3.0201342281879198,0.026552707186505188,0.03007070561116431,0.11718929620544034,0.1038810186807973
C1,no,Insulin,3.3557046979865772,0.022896351798505316,0.026184955389644354,0.10727503420648316,0.09576692113102471
C1,no,Insulin,3.691275167785235,0.020198510898199806,0.02331853009418587,0.09928693304073921,0.08939254896218617
C1,no,Insulin,4.026845637583893,0.018175359198650508,0.021164913846367726,0.09286220702784903,0.08435236006247444
C1,no,Insulin,4.3624161073825505,0.016636630320721643,0.0195216851752417,0.08769626275235215,0.08034330246838609
C1,no,Insulin,4.697986577181208,0.015452013936660187,0.01825164247524318,0.08353945981392541,0.07713743531355963
C1,no,Insulin,5.033557046979866,0.014530454720789248,0.017259493030525794,0.08019020707194502,0.07456197967797441
C1,no,Insulin,5.369127516778524,0.013807129228207149,0.016477552202188796,0.07748711532332418,0.07248481618364906
C1,no,Insulin,5.704697986577181,0.01323509856484096,0.01585677592372711,0.07530158191160015,0.07080402134970054
C1,no,Insulin,6.0402684563758395,0.012779824744431918,0.015360973667940729,0.07353129780311912,0.06944024927624998
C1,no,Insulin,6.375838926174497,0.012415528666752463,0.014963016629644568,0.07209485965551013,0.06833122110763326
C1,no,Insulin,6.7114093959731544,0.012122721587933037,0.014642290521015134,0.07092741852439702,0.06742769811538218
C1,no,Insulin,7.046979865771813,0.01188648476555949,0.014382929747960344,0.06997719920533835,0.06669050575495128
C1,no,Insulin,7.38255033557047,0.01169529443378247,0.014172611884980507,0.0692027488907975,0.06608826454753225
C1,no,Insulin,7.718120805369128,0.01154015855928213,0.014001672584492178,0.06857082279016127,0.0655957908266852
C1,no,Insulin,8.053691275167786,0.011414007073199917,0.01386247719126009,0.06805466460229696,0.0651927444353746
C1,no,Insulin,8.389261744966444,0.01131124287243312,0.013748955967859513,0.0676326995287538,0.06486267237635832
C1,no,Insulin,8.724832214765101,0.01122740777588152,0.013656256165868727,0.06728748111848036,0.06459221820231754
C1,no,Insulin,9.060402684563758,0.011158927448344354,0.013580474494720256,0.06700485106239551,0.0643705014075568
C1,no,Insulin,9.395973154362416,0.01110293540254491,0.013518471696355215,0.06677334050274521,0.06418867574190855
C1,no,Insulin,9.731543624161075,0.011057118379511385,0.01346770856028325,0.06658362351741219,0.06403952656441046
C1,no,Insulin,10.067114093959733,0.011019600676146999,0.013426122080726924,0.06642809075930615,0.06391714984475172
C1,no,Insulin,10.40268456375839,0.01098886187936475,0.013392037042664583,0.06630053867339936,0.06381671463436242
C1,no,Insulin,10.738255033557047,0.010963669269187922,0.013364093373950729,0.06619591983738292,0.06373428628995033
