NON $ % + -
#NON	d	b	c	a
0.0	0.9619394162027369	0.4857362650034446	0.23759071869109205	0.4293669622884655
0.33557046979865773	0.6890507884503347	0.4132230066129346	0.1686767490091295	0.41836821729132495
0.6711409395973155	0.4961467552582634	0.3554554886851114	0.12415724327199548	0.39913256054546775
1.0067114093959733	0.3592542250919677	0.30832474390316145	0.09440103359775599	0.3750389110596121
1.342281879194631	0.26169072567742013	0.2690532074010324	0.07375899534426152	0.348434759400803
1.6778523489932886	0.19182747586831353	0.2357607354350281	0.05888932119939443	0.3209420180456369
2.0134228187919465	0.14154250536785754	0.20716317161145287	0.04779234895039492	0.293665770581621
2.348993288590604	0.10514986680443816	0.182367101051577	0.03925247372391169	0.2673393100544504
2.684563758389262	0.07865802574899498	0.16073293605123906	0.03251466878474883	0.24242700243523327
3.0201342281879198	0.05925595899269839	0.14178544684152142	0.027096555673827138	0.21919879730837138
3.3557046979865772	0.04495677757649295	0.1251564442465948	0.022678998999383887	0.197785153868747
3.691275167785235	0.03435038210765864	0.11054876753225362	0.019042277691954036	0.17821803972337474
4.026845637583893	0.02643155252473847	0.09771403770654905	0.0160287005530826	0.16046170464984716
4.3624161073825505	0.02048023848089831	0.08643907308566884	0.013520559292806184	0.1444357328873014
4.697986577181208	0.01597802180103558	0.07653762532194541	0.011426975794910074	0.13003217919774937
5.033557046979866	0.01254964950368919	0.06784527929708652	0.009675898955330964	0.11712812026168824
5.369127516778524	0.009921983330717208	0.06021617629856406	0.008209091062580099	0.10559465076340525
5.704697986577181	0.007895075524717306	0.05352075790254947	0.006978861351519533	0.09530315135126304
6.0402684563758395	0.0063217175136746516	0.04764407252890448	0.005945836010707441	0.08612950158713738
6.375838926174497	0.0050928728049058555	0.04248434971209979	0.005077347886642344	0.07795670579199862
6.7114093959731544	0.004127314949148499	0.0379517460938431	0.004346227592402851	0.07067639240965132
7.046979865771813	0.0033641686825691217	0.03396718620057171	0.0037298519000758036	0.06418951275355411
7.38255033557047	0.0027575405882274114	0.030461246646858727	0.0032093739175917957	0.0584064110898351
7.718120805369128	0.002272643170623347	0.02737315478109501	0.002769098322572991	0.05324660830620847
8.053691275167786	0.0018829523453363565	0.024649827469828398	0.0023959558657283145	0.04863830496626865
8.389261744966444	0.001568129835295092	0.022244979927684604	0.002079064875216761	0.04451774150604932
8.724832214765101	0.0013124947477559635	0.020118312352021564	0.0018093648421503973	0.040828499149089426
9.060402684563758	0.0011038918894490115	0.01823477135766328	0.001579309744083408	0.03752078338684541
9.395973154362416	0.0009328501392535498	0.01656388947348715	0.0013826123207044743	0.03455073067998819
9.731543624161075	0.0007919518985315544	0.01507919478818702	0.0012140304680065606	0.031879749622451624
10.067114093959733	0.0006753589372863409	0.01375768919153795	0.0010691895733573144	0.029473912618784917
10.40268456375839	0.0005784540892834566	0.01257938951451092	0.0009444350543374346	0.027303401505637554
10.738255033557047	0.0004975683491918124	0.011526924478321654	0.0008367096945974368	0.025342007169382206
