NON $ % + - . 0
#NON	c	a	e	d	f	b
0.0	0.8936396022372143	0.26800511110899294	0.3389765972579233	0.5937627681668116	0.14797918473163163	0.608167411919753
0.42016806722689076	0.4179074967867006	0.27280420819353085	0.293639115596567	0.2666515515549424	0.17358386603082454	0.448930711213377
0.8403361344537815	0.24027843921856185	0.2751195732029736	0.2672739859903707	0.13488995917140273	0.187718695018012	0.328499648614933
1.2605042016806722	0.16324788064432574	0.276233929914725	0.2519032576852475	0.07972152599851123	0.19548729325240216	0.24023625596758474
1.680672268907563	0.12549292386554936	0.27676963692415785	0.24292365197869015	0.055450475140686545	0.1997412220270664	0.17734955558323143
2.100840336134454	0.10571629925191435	0.2770270263262608	0.2376687936131831	0.04414320750609042	0.20206329714438484	0.1335665982545254
2.5210084033613445	0.09507767920881174	0.2771506606695102	0.2345893248845	0.03858008505111697	0.203327438161616	0.1036140305044989
2.9411764705882355	0.08929925984987852	0.27721003962582275	0.23278259234284918	0.03572333664120371	0.20401404426631006	0.08338536020302155
3.361344537815126	0.08614679105947391	0.2772385563185033	0.23172156708750397	0.034213057641366784	0.20438621780810565	0.06985320751182969
3.7815126050420167	0.08442180664808664	0.2772522509555197	0.23109798063553785	0.033399961162414615	0.20458759946257657	0.06086574647659375
4.201680672268908	0.08347558511527567	0.2772588275652325	0.2307312497867462	0.032957333718241444	0.20469639968424388	0.05493000037027117
4.621848739495799	0.08295543476181147	0.2772619858214446	0.23051546280301366	0.032714719155492705	0.2047551015869263	0.05102714592542491
5.042016806722689	0.08266894056778559	0.27726350252649673	0.23038843688069396	0.032581132388345174	0.20478673634016953	0.04847013492508541
5.46218487394958	0.0825108576512545	0.2772642308686627	0.2303136358727562	0.032507339865926216	0.2048037662694162	0.0467997734655623
5.882352941176471	0.08242347727052395	0.2772645806643923	0.23026957478547855	0.03246646920806243	0.20481292588442784	0.04571123560578891
6.302521008403361	0.0823750935602651	0.2772647486449282	0.23024361494756543	0.032443782425640506	0.20481784828291105	0.04500327500732502
6.722689075630252	0.0823482513743146	0.2772648293073854	0.23022831710162475	0.03243116450435226	0.20482049163190943	0.04454359940151027
7.142857142857143	0.08233333582162616	0.277264868041632	0.23021930085297534	0.03242413180390398	0.20482191020369772	0.04424555105972653
7.563025210084033	0.08232503607347384	0.27726488664273513	0.23021398613716668	0.032420203146469824	0.2048226710640867	0.0440525266142002
7.983193277310924	0.08232040346999338	0.277264895574962	0.23021085301574198	0.03241800574738703	0.20482307894123453	0.043927642180105815
8.403361344537815	0.08231781570271973	0.27726489986306735	0.23020900610071487	0.03241677375167612	0.20482329744553554	0.043846918794418016
8.823529411764707	0.08231636581363337	0.2772649019254459	0.2302079166377779	0.03241608113825367	0.2048234145776155	0.04379476094224145
9.243697478991598	0.08231555288236031	0.27726490291311995	0.23020727451119058	0.03241569153897301	0.20482347722575706	0.04376109315375358
9.663865546218487	0.08231509587213531	0.27726490338830506	0.23020689583781678	0.03241547168562538	0.20482351077211447	0.043739369213207986
10.084033613445378	0.08231483855540461	0.2772649036146306	0.23020667276531223	0.032415347736433245	0.2048235286724051	0.04372536285865361
